case_id,type,canonical,matched,normalized,statute,date,year
2025_5_730_734_EN,section,Section 223,s.223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 223,s.223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 223,s.223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 223,Sections 223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 44,Section 44,44,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 223,Section 223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 223,Section 223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 223,Section 223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 223,"Section
223",223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 223,Section 223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 223,Section 223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_6_280_290_EN,section,Section 191(1),"Sections 191(1), 191(2), 190, 109(1),
132, 121(1), 296, 221",191(1),Bharatiya Nyaya Sanhita,"14th July, 2024",2024
2025_6_280_290_EN,section,Section 105,"Section
105",105,Bharatiya Nyaya Sanhita,"14th July, 2024",2024
2025_6_280_290_EN,section,Section 115,Section 115,115,Bharatiya Nyaya Sanhita,"14th July, 2024",2024
2025_6_280_290_EN,section,Section 3,Section 3,3,Bharatiya Nyaya Sanhita,"14th July, 2024",2024
2025_6_280_290_EN,section,Section 120,Section 120,120,Bharatiya Nyaya Sanhita,"14th July, 2024",2024
2025_6_280_290_EN,section,Section 3,Section 3,3,Bharatiya Nyaya Sanhita,"14th July, 2024",2024
2025_6_545_568_EN,statute,Bharatiya Nyaya Sanhita,"BNSS to quash proceedings under the
D.V Act,2005",Bharatiya Nyaya Sanhita,Bharatiya Nyaya Sanhita,,2025
2025_7_105_138_EN,section,Section 47,Sections 47,47,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 47,Section 47,47,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 47,Section 47,47,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 179,Section 179,179,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 179,Section 179,179,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 47,Section 47,47,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 17A,Section 17A,17A,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 17A,Section 17A,17A,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 47,Section 47,47,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,statute,Bharatiya Nyaya Sanhita,"BNSS is manifestly
untenable. In invoking offences against the Prevention
of Corruption Act",Bharatiya Nyaya Sanhita,Bharatiya Nyaya Sanhita,,2025
2025_7_105_138_EN,section,Section 17A,Section 17A,17A,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 17A,Section 17A,17A,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 7,"sections 7, 7A, 8, 13",7,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 17,Section 17,17,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 17A,Section 17A,17A,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 17A,Section 17A,17A,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 47,Section 47,47,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 48,Section 48,48,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 50,Section 50,50,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 47,Section 47,47,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 50,Section 50,50,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_105_138_EN,section,Section 47,Section 47,47,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1543_1578_EN,section,Section 17413,Section 17413,17413,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1543_1578_EN,section,Section 194,Section 194,194,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1980_1997_EN,section,Section 483,Section 483,483,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_2096_2107_EN,section,Section 482,s.482,482,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_2161_2168_EN,section,Section 60(b),"ss.60(b), 316",60(b),Bharatiya Nyaya Sanhita,,2025
2025_7_2161_2168_EN,section,Section 60(b),"ss.60(b), 316",60(b),Bharatiya Nyaya Sanhita,,2025
2025_7_2161_2168_EN,section,Section 482,s.482,482,Bharatiya Nyaya Sanhita,,2025
2025_7_2161_2168_EN,section,Section 60(b),"Sections 60(b), 316",60(b),Bharatiya Nyaya Sanhita,,2025
2025_7_2161_2168_EN,section,Section 60,Section 60,60,Bharatiya Nyaya Sanhita,,2025
2025_7_2161_2168_EN,section,Section 316,Section 316,316,Bharatiya Nyaya Sanhita,,2025
